Disease,County,Year,Sex,Cases,Population
Chlamydia,San Diego,2018,Female,13510,1662322
Chlamydia,San Diego,2018,Male,8560,1682108
Chlamydia,San Diego,2018,Total,22101,3344430
Chlamydia,San Francisco,2015,Female,2509,426743
Chlamydia,San Francisco,2015,Male,5122,438199
Chlamydia,San Francisco,2015,Total,7665,864942
Chlamydia,San Francisco,2016,Female,2625,430874
Chlamydia,San Francisco,2016,Male,5519,442002
Chlamydia,San Francisco,2016,Total,8184,872876
Chlamydia,San Francisco,2017,Female,2874,434960
Chlamydia,San Francisco,2017,Male,6214,445995
Chlamydia,San Francisco,2017,Total,9140,880955
Chlamydia,San Francisco,2018,Female,2775,438348
Chlamydia,San Francisco,2018,Male,6673,449192
Chlamydia,San Francisco,2018,Total,9505,887540
Chlamydia,San Joaquin,2015,Female,2501,365111
Chlamydia,San Joaquin,2015,Male,1044,363361
Chlamydia,San Joaquin,2015,Total,3550,728472
Chlamydia,San Joaquin,2016,Female,2615,369995
Chlamydia,San Joaquin,2016,Male,1165,368766
Chlamydia,San Joaquin,2016,Total,3792,738761
Chlamydia,San Joaquin,2017,Female,2664,375315
Chlamydia,San Joaquin,2017,Male,1320,374495
Chlamydia,San Joaquin,2017,Total,3994,749810
Chlamydia,San Joaquin,2018,Female,2979,379888
Chlamydia,San Joaquin,2018,Male,1349,379298
Chlamydia,San Joaquin,2018,Total,4347,759186
Chlamydia,San Luis Obispo,2015,Female,699,135507
Chlamydia,San Luis Obispo,2015,Male,384,141352
Chlamydia,San Luis Obispo,2015,Total,1083,276859
Chlamydia,San Luis Obispo,2016,Female,773,136054
Chlamydia,San Luis Obispo,2016,Male,374,142310
Chlamydia,San Luis Obispo,2016,Total,1147,278364
Chlamydia,San Luis Obispo,2017,Female,835,136199
Chlamydia,San Luis Obispo,2017,Male,423,142481
Chlamydia,San Luis Obispo,2017,Total,1258,278680
Chlamydia,San Luis Obispo,2018,Female,795,136515
Chlamydia,San Luis Obispo,2018,Male,405,142855
Chlamydia,San Luis Obispo,2018,Total,1200,279370
Chlamydia,San Mateo,2015,Female,1475,387979
Chlamydia,San Mateo,2015,Male,898,376871
Chlamydia,San Mateo,2015,Total,2377,764850
Chlamydia,San Mateo,2016,Female,1559,389713
Chlamydia,San Mateo,2016,Male,1024,378860
Chlamydia,San Mateo,2016,Total,2583,768573
Chlamydia,San Mateo,2017,Female,1650,391068
Chlamydia,San Mateo,2017,Male,1215,380834
Chlamydia,San Mateo,2017,Total,2867,771902
Chlamydia,San Mateo,2018,Female,1772,391861
Chlamydia,San Mateo,2018,Male,1328,382298
Chlamydia,San Mateo,2018,Total,3103,774159
Chlamydia,Santa Barbara,2015,Female,1570,220439
Chlamydia,Santa Barbara,2015,Male,717,224094
Chlamydia,Santa Barbara,2015,Total,2290,444533
Chlamydia,Santa Barbara,2016,Female,1546,221905
Chlamydia,Santa Barbara,2016,Male,757,225481
Chlamydia,Santa Barbara,2016,Total,2306,447386
Chlamydia,Santa Barbara,2017,Female,1674,223181
Chlamydia,Santa Barbara,2017,Male,759,226957
Chlamydia,Santa Barbara,2017,Total,2438,450138
Chlamydia,Santa Barbara,2018,Female,1824,224571
Chlamydia,Santa Barbara,2018,Male,878,228717
Chlamydia,Santa Barbara,2018,Total,2704,453288
Chlamydia,Santa Clara,2015,Female,4221,952364
Chlamydia,Santa Clara,2015,Male,2538,967481
Chlamydia,Santa Clara,2015,Total,6765,1919845
Chlamydia,Santa Clara,2016,Female,4323,958727
Chlamydia,Santa Clara,2016,Male,2657,975048
Chlamydia,Santa Clara,2016,Total,6985,1933775
Chlamydia,Santa Clara,2017,Female,4614,963966
Chlamydia,Santa Clara,2017,Male,3039,981945
Chlamydia,Santa Clara,2017,Total,7663,1945911
Chlamydia,Santa Clara,2018,Female,5002,968453
Chlamydia,Santa Clara,2018,Male,3321,988126
Chlamydia,Santa Clara,2018,Total,8331,1956579
Chlamydia,Santa Cruz,2015,Female,690,137250
Chlamydia,Santa Cruz,2015,Male,288,137441
Chlamydia,Santa Cruz,2015,Total,978,274691
Chlamydia,Santa Cruz,2016,Female,676,137848
Chlamydia,Santa Cruz,2016,Male,314,137942
Chlamydia,Santa Cruz,2016,Total,990,275790
Chlamydia,Santa Cruz,2017,Female,746,137831
Chlamydia,Santa Cruz,2017,Male,369,138028
Chlamydia,Santa Cruz,2017,Total,1115,275859
Chlamydia,Santa Cruz,2018,Female,804,137444
Chlamydia,Santa Cruz,2018,Male,439,137777
Chlamydia,Santa Cruz,2018,Total,1244,275221
Chlamydia,Shasta,2015,Female,442,90912
Chlamydia,Shasta,2015,Male,204,87672
Chlamydia,Shasta,2015,Total,646,178584
Chlamydia,Shasta,2016,Female,446,90473
Chlamydia,Shasta,2016,Male,216,87269
Chlamydia,Shasta,2016,Total,662,177742
Chlamydia,Shasta,2017,Female,396,90662
Chlamydia,Shasta,2017,Male,174,87578
Chlamydia,Shasta,2017,Total,570,178240
Chlamydia,Shasta,2018,Female,464,90580
Chlamydia,Shasta,2018,Male,180,87682
Chlamydia,Shasta,2018,Total,646,178262
Chlamydia,Sierra,2015,Female,NA,1557
Chlamydia,Sierra,2015,Male,NA,1595
Chlamydia,Sierra,2015,Total,3,3152
Chlamydia,Sierra,2016,Female,NA,1561
Chlamydia,Sierra,2016,Male,NA,1586
Chlamydia,Sierra,2016,Total,2,3147
Chlamydia,Sierra,2017,Female,NA,1564
Chlamydia,Sierra,2017,Male,NA,1585
Chlamydia,Sierra,2017,Total,9,3149
Chlamydia,Sierra,2018,Female,NA,1566
Chlamydia,Sierra,2018,Male,NA,1587
Chlamydia,Sierra,2018,Total,6,3153
Chlamydia,Siskiyou,2015,Female,65,22358
Chlamydia,Siskiyou,2015,Male,29,22182
Chlamydia,Siskiyou,2015,Total,94,44540
Chlamydia,Siskiyou,2016,Female,74,22303
Chlamydia,Siskiyou,2016,Male,27,22115
Chlamydia,Siskiyou,2016,Total,101,44418
Chlamydia,Siskiyou,2017,Female,72,22200
Chlamydia,Siskiyou,2017,Male,24,22040
Chlamydia,Siskiyou,2017,Total,96,44240
Chlamydia,Siskiyou,2018,Female,102,22128
Chlamydia,Siskiyou,2018,Male,38,21954
Chlamydia,Siskiyou,2018,Total,141,44082
Chlamydia,Solano,2015,Female,1612,215801
Chlamydia,Solano,2015,Male,812,213676
Chlamydia,Solano,2015,Total,2429,429477
Chlamydia,Solano,2016,Female,1605,217744
Chlamydia,Solano,2016,Male,759,215917
Chlamydia,Solano,2016,Total,2365,433661
